,longitude,latitude,area
446,167.5,-44.4,88598761.10786583
447,167.5,-44.3,88747710.73936233
448,167.5,-44.2,88896383.2207862
449,167.5,-44.1,89044778.13838254
450,167.5,-44.0,89192895.0798524
451,167.6,-47.8,83372589.10763639
452,167.6,-47.7,83530708.51423106
453,167.6,-47.6,83688565.43807516
454,167.6,-47.5,83846159.43138643
455,167.6,-47.4,84003490.04643477
456,167.6,-47.3,84160556.83713144
457,167.6,-47.2,84317359.3584598
458,167.6,-47.1,84473897.1660448
459,167.6,-47.0,84630169.81677668
460,167.6,-46.9,84786176.86839779
461,167.6,-46.8,84941917.87992787
462,167.6,-46.7,85097392.41120979
463,167.6,-46.6,85252600.02298348
464,167.6,-46.5,85407540.2774562
465,167.6,-46.4,85562212.73732015
466,167.6,-46.3,85716616.96678743
467,167.6,-46.2,85870752.53073595
468,167.6,-46.1,86024618.99513903
469,167.6,-46.0,86178215.92714263
470,167.6,-45.9,86331542.8947159
471,167.6,-45.8,86484599.46710481
472,167.6,-45.7,86637385.21438223
473,167.6,-45.6,86789899.7074387
474,167.6,-45.5,86942142.51870804
475,167.6,-45.4,87094113.22140275
476,167.6,-45.3,87245811.38957317
477,167.6,-45.2,87397236.59860939
478,167.6,-45.1,87548388.42473017
479,167.6,-45.0,87699266.44519946
480,167.6,-44.9,87849870.2382712
481,167.6,-44.8,88000199.38347082
482,167.6,-44.7,88150253.46116441
483,167.6,-44.6,88300032.05266821
484,167.6,-44.5,88449534.74029733
485,167.6,-44.4,88598761.1078637
486,167.6,-44.3,88747710.73937123
487,167.6,-44.2,88896383.22079991
488,167.6,-44.1,89044778.13840415
489,167.6,-44.0,89192895.07985592
490,167.6,-43.9,89340733.63377601
491,167.7,-47.8,83372589.1076415
492,167.7,-47.7,83530708.51426527
493,167.7,-47.6,83688565.43808022
494,167.7,-47.5,83846159.43138236
495,167.7,-47.4,84003490.04639395
496,167.7,-47.3,84160556.83714613
497,167.7,-47.2,84317359.35848077
498,167.7,-47.1,84473897.16603816
499,167.7,-47.0,84630169.81676237
500,167.7,-46.9,84786176.86835629
501,167.7,-46.8,84941917.87993824
502,167.7,-46.7,85097392.41119911
503,167.7,-46.6,85252600.02301274
504,167.7,-46.5,85407540.27742964
505,167.7,-46.4,85562212.73737955
506,167.7,-46.3,85716616.9667339
507,167.7,-46.2,85870752.53074026
508,167.7,-46.1,86024618.99517493
509,167.7,-46.0,86178215.92712481
510,167.7,-45.9,86331542.89473067
511,167.7,-45.8,86484599.46711005
512,167.7,-45.7,86637385.2143585
513,167.7,-45.6,86789899.70744511
514,167.7,-45.5,86942142.51872468
515,167.7,-45.4,87094113.22140759
516,167.7,-45.3,87245811.38954194
517,167.7,-45.2,87397236.59864676
518,167.7,-45.1,87548388.42471492
519,167.7,-45.0,87699266.44520135
520,167.7,-44.9,87849870.23826826
521,167.7,-44.8,88000199.38346398
522,167.7,-44.7,88150253.46117425
523,167.7,-44.6,88300032.05267207
524,167.7,-44.5,88449534.74025148
525,167.7,-44.4,88598761.10787469
526,167.7,-44.3,88747710.73936787
527,167.7,-44.2,88896383.22080609
528,167.7,-44.1,89044778.13839756
529,167.7,-44.0,89192895.07986331
530,167.7,-43.9,89340733.63379401
531,167.7,-43.8,89488293.38967896
532,167.8,-47.8,83372589.1076447
533,167.8,-47.7,83530708.51425683
534,167.8,-47.6,83688565.43808377
535,167.8,-47.5,83846159.43136616
536,167.8,-47.4,84003490.04641835
537,167.8,-47.3,84160556.83717367
538,167.8,-47.2,84317359.35846052
539,167.8,-47.1,84473897.16602501
540,167.8,-47.0,84630169.816733
541,167.8,-46.9,84786176.86840393
542,167.8,-46.8,84941917.87993568
543,167.8,-46.7,85097392.41120443
544,167.8,-46.6,85252600.0229856
545,167.8,-46.5,85407540.27744049
546,167.8,-46.4,85562212.73736857
547,167.8,-46.3,85716616.96680042
548,167.8,-46.2,85870752.53072724
549,167.8,-46.1,86024618.9951588
550,167.8,-46.0,86178215.92713389
551,167.8,-45.9,86331542.8947055
552,167.8,-45.8,86484599.46714449
553,167.8,-45.7,86637385.21436079
554,167.8,-45.6,86789899.70742123
555,167.8,-45.5,86942142.51873113
556,167.8,-45.4,87094113.22141457
557,167.8,-45.3,87245811.38955668
558,167.8,-45.2,87397236.59862833
559,167.8,-45.1,87548388.42472115
560,167.8,-45.0,87699266.44519606
561,167.8,-44.9,87849870.23827167
562,167.8,-44.8,88000199.38346958
563,167.8,-44.7,88150253.46118613
564,167.8,-44.6,88300032.05266353
565,167.8,-44.5,88449534.740286
566,167.8,-44.4,88598761.10786813
567,167.8,-44.3,88747710.73935488
568,167.8,-44.2,88896383.22082101
569,167.8,-44.1,89044778.13840362
570,167.8,-44.0,89192895.0798538
571,167.8,-43.9,89340733.63378109
572,167.8,-43.8,89488293.38968432
573,167.8,-43.7,89635573.93839586
574,167.9,-47.7,83530708.51421207
575,167.9,-47.6,83688565.43809706
576,167.9,-47.5,83846159.43136214
577,167.9,-47.4,84003490.04643045
578,167.9,-47.3,84160556.83715059
579,167.9,-47.2,84317359.35847351
580,167.9,-47.1,84473897.16606098
581,167.9,-47.0,84630169.81674337
582,167.9,-46.9,84786176.86839014
583,167.9,-46.8,84941917.87991871
584,167.9,-46.7,85097392.41120693
585,167.9,-46.6,85252600.02301265
586,167.9,-46.5,85407540.27742843
587,167.9,-46.4,85562212.73735687
588,167.9,-46.3,85716616.96677998
589,167.9,-46.2,85870752.53075305
590,167.9,-46.1,86024618.99516298
591,167.9,-46.0,86178215.92713661
592,167.9,-45.9,86331542.89472269
593,167.9,-45.8,86484599.46711108
594,167.9,-45.7,86637385.21435988
595,167.9,-45.6,86789899.70741132
596,167.9,-45.5,86942142.51871964
597,167.9,-45.4,87094113.2214292
598,167.9,-45.3,87245811.38955468
599,167.9,-45.2,87397236.59863785
600,167.9,-45.1,87548388.4247341
601,167.9,-45.0,87699266.44518872
602,167.9,-44.9,87849870.2382926
603,167.9,-44.8,88000199.38346562
604,167.9,-44.7,88150253.46119428
605,167.9,-44.6,88300032.05266422
606,167.9,-44.5,88449534.74025676
607,167.9,-44.4,88598761.10787475
608,167.9,-44.3,88747710.73941092
609,167.9,-44.2,88896383.22077444
610,167.9,-44.1,89044778.1384085
611,167.9,-44.0,89192895.07985833
612,167.9,-43.9,89340733.63381572
613,167.9,-43.8,89488293.38967787
614,167.9,-43.7,89635573.93836124
615,168.0,-47.7,83530708.51422912
616,168.0,-47.6,83688565.43805447
617,168.0,-47.5,83846159.43137944
618,168.0,-47.4,84003490.04644424
619,168.0,-47.3,84160556.83713332
620,168.0,-47.2,84317359.35846429
621,168.0,-47.1,84473897.1660793
622,168.0,-47.0,84630169.81671785
623,168.0,-46.9,84786176.86837937
624,168.0,-46.8,84941917.87990993
625,168.0,-46.7,85097392.41122696
626,168.0,-46.6,85252600.0229654
627,168.0,-46.5,85407540.27745081
628,168.0,-46.4,85562212.7373561
629,168.0,-46.3,85716616.96678746
630,168.0,-46.2,85870752.53074652
631,168.0,-46.1,86024618.99513556
632,168.0,-46.0,86178215.92715666
633,168.0,-45.9,86331542.89471975
634,168.0,-45.8,86484599.46711247
635,168.0,-45.7,86637385.21435544
636,168.0,-45.6,86789899.70744151
637,168.0,-45.5,86942142.5187069
638,168.0,-45.4,87094113.22143006
639,168.0,-45.3,87245811.38955332
640,168.0,-45.2,87397236.59862092
641,168.0,-45.1,87548388.42473978
642,168.0,-45.0,87699266.44517575
643,168.0,-44.9,87849870.23829634
644,168.0,-44.8,88000199.3834566
645,168.0,-44.7,88150253.46119066
646,168.0,-44.6,88300032.05267355
647,168.0,-44.5,88449534.74026614
648,168.0,-44.4,88598761.10783851
649,168.0,-44.3,88747710.73938447
650,168.0,-44.2,88896383.22077852
651,168.0,-44.1,89044778.13841447
652,168.0,-44.0,89192895.07982735
653,168.0,-43.9,89340733.63381115
654,168.0,-43.8,89488293.38967685
655,168.0,-43.7,89635573.93838313
656,168.0,-43.6,89782574.87157851
657,168.1,-47.7,83530708.51424149
658,168.1,-47.6,83688565.43806075
659,168.1,-47.5,83846159.43137932
660,168.1,-47.4,84003490.04643685
661,168.1,-47.3,84160556.83714667
